ticker_symbol,industry,sector,website,shares,regularMarketPrice
MO,Tobacco,Consumer Defensive,https://www.altria.com,53,65.67
VICI,REIT - Diversified,Real Estate,https://www.viciproperties.com,45,32.82
CTRA,Oil & Gas E&P,Energy,https://www.coterra.com,41,23.96
KO,Beverages - Non-Alcoholic,Consumer Defensive,https://www.coca-colacompany.com,30,70.75
EW,Medical Devices,Healthcare,https://www.edwards.com,28,78.16
KIM,REIT - Retail,Real Estate,https://www.kimcorealty.com,28,20.8
MNST,Beverages - Non-Alcoholic,Consumer Defensive,https://www.monsterbevcorp.com,26,63.66
KMI,Oil & Gas Midstream,Energy,https://www.kindermorgan.com,24,26.89
RF,Banks - Regional,Financial Services,https://www.regions.com/personal-banking,24,24.63
NEE,Utilities - Regulated Electric,Utilities,https://www.nexteraenergy.com,23,72.45
NEM,Gold,Basic Materials,https://www.newmont.com,23,68.87
LNT,Utilities - Regulated Electric,Utilities,https://www.alliantenergy.com,22,65.32
GIS,Packaged Foods,Consumer Defensive,https://www.generalmills.com,20,49.35
CMCSA,Telecom Services,Communication Services,https://corporate.comcast.com,20,31.41
CPRT,Specialty Business Services,Industrials,https://www.copart.com,20,46.69
DVN,Oil & Gas E&P,Energy,https://www.devonenergy.com,20,32.87
D,Utilities - Regulated Electric,Utilities,https://www.dominionenergy.com,20,61.49
SRE,Utilities - Diversified,Utilities,https://www.sempra.com,18,80.9
NWSA,Entertainment,Communication Services,https://newscorp.com,17,28.38
CSX,Railroads,Industrials,https://www.csx.com,17,35.23
PEG,Utilities - Regulated Electric,Utilities,https://investor.pseg.com/home/default.aspx,15,86.54
MTCH,Internet Content & Information,Communication Services,https://www.mtch.com,15,35.7
WMB,Oil & Gas Midstream,Energy,https://www.williams.com,15,58.06
CL,Household & Personal Products,Consumer Defensive,https://www.colgatepalmolive.com,14,84.45
NWS,Entertainment,Communication Services,https://newscorp.com,14,32.875
MKC,Packaged Foods,Consumer Defensive,https://www.mccormickcorporation.com,14,69.67
CF,Agricultural Inputs,Basic Materials,https://www.cfindustries.com,13,82.63
SLB,Oil & Gas Equipment & Services,Energy,https://www.slb.com,13,32.37
AEP,Utilities - Regulated Electric,Utilities,https://www.aep.com,12,112
MOS,Agricultural Inputs,Basic Materials,https://mosaicco.com,12,32.5
WEC,Utilities - Regulated Electric,Utilities,https://www.wecenergygroup.com,12,109.67
EQT,Oil & Gas E&P,Energy,https://www.eqt.com,11,51.82
EQR,REIT - Residential,Real Estate,https://www.equityapartments.com,11,62.3
AWK,Utilities - Regulated Water,Utilities,https://www.amwater.com,11,145.55
ATO,Utilities - Regulated Gas,Utilities,https://www.atmosenergy.com,11,165.04
